,Ih0,trans_time,beta1,gamma1,beta2,gamma2
Ih0,0.029834641852445404,-0.08445411309412348,-0.0003784858139714313,-0.00033653131886859813,-0.004033829555057591,-0.0032649533470077794
trans_time,-0.08445411309412726,2.486392507949571,0.005890800960968224,0.006080333442782215,-0.008138404982221398,-0.006823941137939878
beta1,-0.00037848581397149423,0.00589080096096829,4.670688978988737e-05,4.77984392482063e-05,-2.8442130242789955e-05,-2.1341187209104936e-05
gamma1,-0.0003365313188686591,0.006080333442782301,4.7798439248206464e-05,4.913357148090621e-05,-3.828394578291828e-05,-2.901599247698972e-05
beta2,-0.004033829555057451,-0.008138404982222342,-2.844213024280445e-05,-3.828394578293182e-05,0.0011224940667224023,0.0009133787301106863
gamma2,-0.003264953347007669,-0.00682394113794064,-2.1341187209116713e-05,-2.901599247700072e-05,0.0009133787301106874,0.0007448496916245213
