0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,2
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,3
35,4
36,1
37,1
38,6
39,4
40,6
41,5
42,3
43,10
44,8
45,5
46,9
47,7
48,11
49,9
50,14
51,11
52,7
53,20
54,17
55,19
56,29
57,23
58,23
59,35
60,39
61,32
62,54
63,39
64,39
65,38
66,47
67,44
68,40
69,40
70,43
71,40
72,38
73,43
74,47
75,44
76,47
77,41
78,58
79,32
80,34
81,42
82,29
83,29
84,30
85,31
86,30
87,32
88,31
89,21
90,30
91,29
92,26
93,24
94,22
95,20
96,33
97,23
98,22
99,16
100,16
101,23
102,24
103,26
104,25
105,12
106,17
107,23
108,24
109,16
110,21
111,19
112,15
113,14
114,15
115,15
116,15
117,11
118,7
119,16
120,12
121,15
122,11
123,11
124,6
125,13
126,9
127,11
128,5
129,9
130,5
131,8
132,11
133,7
134,9
135,9
136,5
137,3
138,6
139,5
140,8
141,11
142,7
143,6
144,5
145,8
146,9
147,7
148,7
149,4
150,6
151,9
152,7
153,3
154,7
155,3
156,7
157,5
158,5
159,2
160,5
161,3
162,1
163,1
164,4
165,1
166,2
167,1
168,2
169,1
170,5
171,5
172,4
173,4
174,2
175,4
176,4
177,0
178,1
179,3
180,0
181,4
182,2
183,0
184,3
185,1
186,3
187,1
188,3
189,0
190,1
191,3
192,3
193,3
194,4
195,1
196,1
197,2
198,5
199,3
200,5
201,3
202,1
203,3
204,3
205,3
206,2
207,0
208,2
209,2
210,0
211,4
212,3
213,5
214,2
215,3
216,2
217,3
218,1
219,0
220,2
221,5
222,3
223,1
224,4
225,5
226,0
227,6
228,4
229,4
230,3
231,4
232,3
233,5
234,5
235,13
236,3
237,2
238,2
239,5
240,4
241,3
242,9
243,7
244,4
245,6
246,8
247,3
248,8
249,10
250,7
251,3
252,2
253,6
254,7
255,5
256,7
257,4
258,6
259,2
260,7
261,6
262,7
263,4
264,6
265,6
266,8
267,6
268,3
269,2
270,3
271,2
272,9
273,3
274,8
275,1
276,4
277,2
278,3
279,6
280,5
281,8
282,0
283,6
284,1
285,1
286,1
287,4
288,0
289,3
290,2
291,1
292,2
293,8
294,4
295,3
296,5
297,1
298,6
299,6
300,2
301,0
302,2
303,3
304,2
305,3
306,3
307,2
308,3
309,4
310,1
311,2
312,2
313,5
314,3
315,3
316,3
317,2
318,2
319,4
320,1
321,4
322,3
323,4
324,2
325,3
326,3
327,3
328,3
329,2
330,3
331,2
332,0
333,3
334,0
335,4
336,1
337,2
338,4
339,3
340,2
341,0
342,2
343,0
344,4
345,6
346,2
347,3
348,5
349,5
350,5
351,3
352,3
353,4
354,2
355,6
356,1
357,3
358,0
359,0
360,2
361,4
362,1
363,3
364,5
365,3
366,1
367,7
368,7
369,4
370,5
371,3
372,2
373,2
374,6
375,2
376,2
377,4
378,4
379,5
380,6
381,6
382,6
383,8
384,1
385,5
386,4
387,5
388,5
389,7
390,8
391,5
392,8
393,4
394,4
395,5
396,4
397,9
398,8
399,2
