beta,max_inc_mean,max_inc_std,ttm_inc_mean,ttm_inc_std,max_epi_size_mean,max_epi_size_std,ttm_size_mean,ttm_size_std
0.01,1.125,0.3415650255319866,6.625,6.74166151627327,4.125,2.6299556396765835,23.375,17.461863207191456
0.06363636363636363,14.875,4.014556845614054,41.125,16.18177987738061,444.25,119.19312060685381,115.0,32.0
0.11727272727272726,27.3125,4.826575735791715,25.75,3.4351128074635335,499.0,1.0954451150103321,87.3125,11.819299189602289
0.1709090909090909,34.8125,4.929080373998109,20.125,2.1563858652847827,499.875,0.3415650255319866,85.8125,6.804104153621793
0.22454545454545455,33.0,3.6147844564602556,18.25,2.9776948578836393,500.0,0.0,85.0625,6.658015219768326
0.2781818181818182,35.3125,3.0269621735330623,14.5625,1.459166428707386,500.0,0.0,71.8125,3.4683089058886707
0.3318181818181818,40.5625,2.25,12.5625,2.0320351046836436,500.0,0.0,73.375,2.5
0.38545454545454544,39.5625,3.365882747016994,11.6875,1.138346754435279,500.0,0.0,92.0,21.688706738761535
0.4390909090909091,39.6875,3.664582741140752,11.625,1.857417562100671,500.0,0.0,81.25,19.45764631192581
0.49272727272727274,38.5625,2.365551380404436,10.75,2.016597794967223,500.0,0.0,86.0,5.887840577551898
0.5463636363636364,39.375,4.924428900898052,10.1875,1.0468205831628137,500.0,0.0,81.4375,3.558440669731617
0.6,42.3125,4.7006205264127985,9.25,0.6831300510639732,500.0,0.0,71.9375,6.265979572261627
