R0,max_inc_mean,max_inc_std,ttm_inc_mean,ttm_inc_std,max_epi_size_mean,max_epi_size_std,ttm_size_mean,ttm_size_std
0.1,1.125,0.3415650255319866,9.5,6.3456021516217564,1.3125,0.704154339142587,12.25,9.6850400102426
0.45000000000000007,1.0,0.0,7.25,5.836665714829544,1.5625,1.0307764064044151,11.0,10.469001862641921
0.8,1.0,0.0,9.9375,7.8440529489968815,1.5,1.0327955589886444,14.75,14.116184564770563
1.1500000000000001,1.5,0.6324555320336759,17.5625,26.191522165260523,8.625,12.398252565045876,36.1875,42.62740706791035
1.5000000000000002,1.9375,1.4818344486930155,31.25,50.520622851795224,27.25,49.62459067841265,49.9375,75.02929983235438
1.8500000000000003,3.0625,3.2345787979271736,21.125,22.12653007891959,77.1875,113.10951551483191,61.125,75.49293565184317
2.2,5.375,4.731102760808872,31.875,32.172192962246136,162.5625,166.83843232301123,82.875,80.897362956609
2.5500000000000003,8.875,6.839834305985295,40.5625,34.65057719576977,214.5625,192.8629802908445,84.25,70.47127074205488
2.9000000000000004,11.5,7.155417527999327,37.4375,24.897037976434063,281.875,195.29563060481752,95.875,64.04672773322095
3.2500000000000004,11.625,8.67083233221202,27.1875,19.044574905556,264.875,211.0222342155758,76.75,62.083277404896506
3.6000000000000005,9.0,8.17312669668102,28.875,26.44963767867782,220.3125,225.60842736919204,69.1875,64.68819444071693
3.9500000000000006,12.5,9.345230512584124,25.3125,18.9867278205944,278.375,221.99365606551314,72.1875,56.273402539151064
4.3,16.4375,9.55662946161808,26.75,13.940349110884323,337.0,200.5090189160245,78.3125,44.880164512473286
4.65,14.125,10.738559804120227,20.6875,15.173304408291118,288.3125,229.5911492922437,61.9375,47.357461573300846
5.0,19.75,9.412757300600074,23.875,11.882059305243908,380.75,188.5306341155198,72.5,35.87942771747249
