beta,max_inc_mean,max_inc_std,ttm_inc_mean,ttm_inc_std,max_epi_size_mean,max_epi_size_std,ttm_size_mean,ttm_size_std
0.01,1.4375,0.51234753829798,6.5625,6.821229117004257,4.125,2.5787593916455256,19.875,14.664583185348297
0.06363636363636363,26.9375,7.370832155643396,21.0,7.720103626247513,444.8125,118.29072589739795,80.875,23.51418011895517
0.11727272727272726,35.5625,3.2653483734511393,15.5625,3.010398644698074,494.5625,1.7876893839068724,75.4375,11.535271995059327
0.1709090909090909,41.8125,3.4683089058886707,11.125,1.5,496.3125,1.8874586088176875,90.0,1.0327955589886444
0.22454545454545455,41.1875,2.7620946158063933,10.0,1.8618986725025255,496.0625,1.181453906563152,83.0,0.0
0.2781818181818182,41.25,2.1134489978863145,8.25,0.7745966692414834,498.875,0.5,76.5,6.713171133426189
0.3318181818181818,41.875,1.5,8.0,1.2649110640673518,499.3125,0.704154339142587,74.5,1.5491933384829668
0.38545454545454544,44.375,4.631414470763764,7.125,1.02469507659596,498.875,0.6191391873668903,73.0,1.0327955589886444
0.4390909090909091,42.875,1.2583057392117916,7.4375,0.6291528696058958,499.1875,0.4031128874149275,61.0,1.0327955589886444
0.49272727272727274,47.0625,3.9407063664610518,6.5,0.816496580927726,499.5,0.5163977794943222,65.5,3.6147844564602556
0.5463636363636364,49.625,3.7036018504513506,6.375,0.6191391873668903,500.0,0.0,62.5,0.5163977794943222
0.6,45.875,4.379878232706171,5.9375,0.6800735254367721,499.625,0.6191391873668903,57.625,1.707825127659933
