,Ih0,beta,gamma
Ih0,0.09371656440018056,0.00019462553843752002,0.0001579839800864952
beta,0.00019462553843752043,2.9123224281952465e-05,2.840369225458051e-05
gamma,0.00015798398008649563,2.8403692254580518e-05,2.799169426078177e-05
