,Ih0,beta,gamma
Ih0,0.8327516036641076,-0.02439374673100052,-0.02060453524373871
beta,-0.02439374673100052,0.0010669236480274585,0.0009051887226035799
gamma,-0.020604535243738703,0.0009051887226035797,0.0007681187360545966
