,Ih0,beta,gamma
Ih0,0.010540612654208123,-0.000722413152518016,-0.0006696197787693046
beta,-0.0007224131525180156,5.849288672643068e-05,5.5259166436690345e-05
gamma,-0.0006696197787693043,5.525916643669035e-05,5.256151188034047e-05
