,Ih0,r,Kr,br,Z,rr,rf,Kf,df,bh,rh,ph
Ih0,109632.8360351272,-1.396882420042508,-1304.2421591461207,-19226.41374091051,230.7803733148107,18060.083002847445,112.98186411580411,-5620.202202814419,39723.33763810595,-2055.388393796194,-3248.7619161091366,-0.0014247517750251178
r,-1.396882420042508,0.0010791333313638703,0.35688529665715646,0.23672453020515016,0.08298426865185404,-0.38360629661074824,-0.007125150012319994,0.13823485769159902,-1.1533933062032093,-0.066367441175998,0.036894179345816215,1.1416215656365852e-07
Kr,-1304.2421591461207,0.35688529665715646,132.6486799115773,269.9572959572919,14.660969495715616,-275.8227047275837,-1.6644535003426708,84.58791511248039,-720.2607391371802,7.011842292493538,32.64578073757576,3.7995090231575885e-05
br,-19226.413740910513,0.23672453020515016,269.9572959572919,4130.475104134579,-292.86679347238663,-3849.5826514675437,-16.012970799080975,1076.5181458521,-9010.786906541074,676.6832996737552,376.26047596977696,0.00016072160651209907
Z,230.78037331481073,0.08298426865185404,14.660969495715616,-292.86679347238663,202.28837106424172,277.91783836771145,-1.6331353528651267,-40.629124383832036,766.9598893776218,-237.31208726527515,122.73008947736786,9.829114438165709e-05
rr,18060.083002847445,-0.38360629661074824,-275.82270472758375,-3849.5826514675437,277.91783836771145,3768.0087663270506,21.033317130171454,-1064.8079778069916,8974.565045512905,-644.4565782380988,-325.66663552980594,-0.00018328067904689076
rf,112.98186411580413,-0.007125150012319994,-1.6644535003426708,-16.012970799080975,-1.6331353528651267,21.033317130171454,0.8183622936194833,-7.767611666241858,38.49973421993296,-0.07085707265549371,-2.9909876662979453,-7.884464444331614e-06
Kf,-5620.20220281442,0.13823485769159904,84.58791511248039,1076.5181458521,-40.62912438383204,-1064.8079778069916,-7.767611666241858,321.93624797350634,-2489.172552272242,142.65230431554636,118.10204170552343,7.612470249463122e-05
df,39723.33763810596,-1.1533933062032093,-720.2607391371802,-9010.786906541074,766.9598893776218,8974.565045512903,38.49973421993296,-2489.172552272242,22406.770556829313,-1614.0607209110815,-474.1464465850031,-0.0002883619038119358
bh,-2055.388393796194,-0.06636744117599797,7.011842292493543,676.6832996737551,-237.3120872652751,-644.4565782380988,-0.07085707265549342,142.65230431554636,-1614.0607209110813,309.98225997404484,-89.09464992177834,-8.85747692653521e-05
rh,-3248.761916109137,0.03689417934581623,32.64578073757577,376.260475969777,122.73008947736786,-325.66663552980594,-2.9909876662979453,118.1020417055234,-474.1464465850032,-89.09464992177836,305.23584941909894,0.000145939493922669
ph,-0.0014247517750251178,1.141621565636585e-07,3.7995090231575885e-05,0.0001607216065120991,9.829114438165709e-05,-0.00018328067904689076,-7.884464444331614e-06,7.612470249463121e-05,-0.00028836190381193583,-8.857476926535208e-05,0.000145939493922669,2.02157599782211e-10
